a,ʔ aː 1
ai,ʔ aː j 1
am,ʔ aː m 1
an,ʔ aː n 1
ang,ʔ aː ŋ 1
anh,ʔ ɛ ŋ 1
ao,ʔ aː w 1
au,ʔ a w 1
ay,ʔ a j 1
ba,ɓ aː 1
bai,ɓ aː j 1
bam,ɓ aː m 1
ban,ɓ aː n 1
bang,ɓ aː ŋ 1
banh,ɓ ɛ ŋ 1
bao,ɓ aː w 1
bau,ɓ a w 1
bay,ɓ a j 1
be,ɓ ɛ 1
bem,ɓ ɛ m 1
ben,ɓ ɛ n 1
beo,ɓ ɛ w 1
bi,ɓ i 1
bia,ɓ iə 1
bim,ɓ i m 1
bin,ɓ i n 1
binh,ɓ i ŋ 1
biêm,ɓ iə m 1
biên,ɓ iə n 1
biêng,ɓ iə ŋ 1
biêu,ɓ iə w 1
biếc,ɓ iə k 5
biệc,ɓ iə k 6
biếm,ɓ iə m 5
biềm,ɓ iə m 2
biểm,ɓ iə m 3
biến,ɓ iə n 5
biền,ɓ iə n 2
biển,ɓ iə n 3
biễn,ɓ iə n 4
biện,ɓ iə n 6
biếng,ɓ iə ŋ 5
biếp,ɓ iə p 5
biết,ɓ iə t 5
biệt,ɓ iə t 6
biếu,ɓ iə w 5
biều,ɓ iə w 2
biểu,ɓ iə w 3
biễu,ɓ iə w 4
bo,ɓ ɔ 1
boa,ɓ w aː 1
boe,ɓ w ɛ 1
boi,ɓ ɔ j 1
bom,ɓ ɔ m 1
bon,ɓ ɔ n 1
bong,ɓ ɔ ŋ 1
boăn,ɓ w a n 1
bu,ɓ u 1
bua,ɓ uə 1
bui,ɓ u j 1
bum,ɓ u m 1
bun,ɓ u n 1
bung,ɓ u ŋ 1
buy,ɓ w i 1
buôi,ɓ uə j 1
buôn,ɓ uə n 1
buông,ɓ uə ŋ 1
buýt,ɓ w i t 5
buốc,ɓ uə k 5
buộc,ɓ uə k 6
buối,ɓ uə j 5
buồi,ɓ uə j 2
buổi,ɓ uə j 3
buỗi,ɓ uə j 4
buội,ɓ uə j 6
buồm,ɓ uə m 2
buộm,ɓ uə m 6
buồn,ɓ uə n 2
buồng,ɓ uə ŋ 2
buốt,ɓ uə t 5
buột,ɓ uə t 6
bà,ɓ aː 2
bài,ɓ aː j 2
bàm,ɓ aː m 2
bàn,ɓ aː n 2
bàng,ɓ aː ŋ 2
bành,ɓ ɛ ŋ 2
bào,ɓ aː w 2
bàu,ɓ a w 2
bày,ɓ a j 2
bá,ɓ aː 5
bác,ɓ aː k 5
bách,ɓ ɛ k 5
bái,ɓ aː j 5
bám,ɓ aː m 5
bán,ɓ aː n 5
báng,ɓ aː ŋ 5
bánh,ɓ ɛ ŋ 5
báo,ɓ aː w 5
báp,ɓ aː p 5
bát,ɓ aː t 5
báu,ɓ a w 5
báy,ɓ a j 5
bân,ɓ ə n 1
bâng,ɓ ə ŋ 1
bâu,ɓ ə w 1
bây,ɓ ə j 1
bã,ɓ aː 4
bãi,ɓ aː j 4
