汉字,漢越語,IPA,聲調,拼音,攝別,四聲,韻目,字母,開合,等第,清濁,上字,下字,,,,,,,,,,,
一,Nhất,ɲɤt7,銳入,yī,臻,入,質,影,開,三,全清,於,悉,,,,,,,,,,,
丨,Cổn,kon3,問聲,gǔn,臻,上,混,見,合,一,全清,古,本,,,,,,,,,,,
丶,Chủ,tʂu3,問聲,zhǔ,遇,上,麌,知,合,三,全清,知,庾,,,,,,,,,,,
丿,Phiệt,fiet8,重入,piě,山,入,屑,滂,開,四,次清,普,蔑,,,,,,,,,,,
乀,Phật,fɤt8,重入,fú,臻,入,物,敷,合,三,次清,敷,勿,,,,,,,,,,,
乙,Ất,ɤt7,銳入,yǐ,臻,入,質,影,開,三,全清,於,筆,,,,,,,,,,,
亅,Quyết,kwiet7,銳入,jué,山,入,月,群,合,三,全濁,其,月,,,,,,,,,,,
丁,Tranh,tʂa:ɲ1,平聲,zhēng,梗,平,耕,知,開,二,全清,中,莖,,,,,,,,,,,
丁,Đinh,diɲ1,平聲,dīng,梗,平,青,端,開,四,全清,當,經,,,,,,,,,,,
丂,Khảo,xa:w3,問聲,kǎo,效,上,晧,溪,開,一,次清,苦,浩,,,,,,,,,,,
七,Thất,t'ɤt7,銳入,qī,臻,入,質,清,開,三,次清,親,吉,,,,,,,,,,,
乂,Nghệ,ŋe6,重聲,yì,蟹,去,廢,疑,開,三,次濁,魚,肺,,,,,,,,,,,
乃,Nãi,na:j4,跌聲,nǎi,蟹,上,海,泥,開,一,次濁,奴,亥,,,,,,,,,,,
九,Cửu,kɯw3,問聲,jiǔ,流,上,有,見,開,三,全清,舉,有,,,,,,,,,,,
了,Liễu,liew4,跌聲,liǎo,效,上,篠,來,開,四,次濁,盧,鳥,,,,,,,,,,,
二,Nhị,ɲi6,重聲,èr,止,去,至,日,開,三,次濁,而,至,,,,,,,,,,,
人,Nhân,ɲɤn1,平聲,rén,臻,平,真,日,開,三,次濁,如,鄰,,,,,,,,,,,
入,Nhập,ɲɤp8,重入,rù,深,入,緝,日,開,三,次濁,人,執,,,,,,,,,,,
八,Bát,ba:t7,銳入,bā,山,入,黠,幫,合,二,全清,博,拔,,,,,,,,,,,
冖,Mịch,miʧ8,重入,mì,梗,入,錫,明,開,四,次濁,莫,狄,,,,,,,,,,,
冫,Băng,baŋ1,平聲,bīng,曾,平,蒸,幫,開,三,全清,筆,陵,,,,,,,,,,,
几,Kỉ,ki3,問聲,jī,止,上,旨,見,開,三,全清,居,履,,,,,,,,,,,
凵,Khảm,xa:m3,問聲,qū,咸,上,范,溪,合,三,次清,丘,犯,,,,,,,,,,,
刀,Đao,da:w1,平聲,dāo,效,平,豪,端,開,一,全清,都,牢,,,,,,,,,,,
刁,Điêu,diew1,平聲,diāo,效,平,蕭,端,開,四,全清,都,聊,,,,,,,,,,,
力,Lực,lɯk8,重入,lì,曾,入,職,來,開,三,次濁,林,直,,,,,,,,,,,
勹,Bao,ba:w1,平聲,bāo,效,平,肴,幫,開,二,全清,布,交,,,,,,,,,,,
匕,Chủy,tʂwi3,問聲,bǐ,止,上,旨,幫,開,三,全清,卑,履,,,,,,,,,,,
