a,ʔ aː 1
ai,ʔ aː j 1
am,ʔ aː m 1
an,ʔ aː n 1
anh,ʔ ɛ ŋ 1
ao,ʔ aː w 1
ba,ɓ aː 1
ban,ɓ aː n 1
bang,ɓ aː ŋ 1
banh,ɓ ɛ ŋ 1
bao,ɓ aː w 1
bi,ɓ i 1
binh,ɓ i ŋ 1
biêm,ɓ iə m 1
biên,ɓ iə n 1
biếm,ɓ iə m 5
biến,ɓ iə n 5
biền,ɓ iə n 2
biển,ɓ iə n 3
biện,ɓ iə n 6
biết,ɓ iə t 5
biệt,ɓ iə t 6
biều,ɓ iə w 2
biểu,ɓ iə w 3
biễu,ɓ iə w 4
bà,ɓ aː 2
bài,ɓ aː j 2
bàn,ɓ aː n 2
bàng,ɓ aː ŋ 2
bành,ɓ ɛ ŋ 2
bào,ɓ aː w 2
bá,ɓ aː 5
bác,ɓ aː k 5
bách,ɓ ɛ k 5
bái,ɓ aː j 5
bán,ɓ aː n 5
báng,ɓ aː ŋ 5
báo,ɓ aː w 5
bát,ɓ aː t 5
bân,ɓ ə n 1
bãi,ɓ aː j 4
bão,ɓ aː w 4
bì,ɓ i 2
bình,ɓ i ŋ 2
bí,ɓ i 5
bích,ɓ i k 5
bính,ɓ i ŋ 5
bô,ɓ o 1
bôi,ɓ o j 1
bôn,ɓ o n 1
bùi,ɓ u j 2
bút,ɓ u t 5
bĩ,ɓ i 4
bả,ɓ aː 3
bế,ɓ e 5
bề,ɓ e 2
bễ,ɓ e 4
bệ,ɓ e 6
bỉ,ɓ i 3
bị,ɓ i 6
bố,ɓ o 5
bồ,ɓ o 2
bổ,ɓ o 3
bộ,ɓ o 6
bạc,ɓ aː k 6
bắc,ɓ a k 5
bặc,ɓ a k 6
bốc,ɓ o k 5
bộc,ɓ o k 6
bức,ɓ ɨ k 5
bạch,ɓ ɛ k 6
bịch,ɓ i k 6
bại,ɓ aː j 6
bối,ɓ o j 5
bồi,ɓ o j 2
bội,ɓ o j 6
bẩm,ɓ ə m 3
bạn,ɓ aː n 6
bản,ɓ aː n 3
bấn,ɓ ə n 5
bần,ɓ ə n 2
bồn,ɓ o n 2
bổn,ɓ o n 3
bộn,ɓ o n 6
băng,ɓ a ŋ 1
bạng,ɓ aː ŋ 6
bảng,ɓ aː ŋ 3
bằng,ɓ a ŋ 2
bồng,ɓ o ŋ 2
bổng,ɓ o ŋ 3
bệnh,ɓ e ŋ 6
bỉnh,ɓ i ŋ 3
bạo,ɓ aː w 6
bảo,ɓ aː w 3
bạt,ɓ aː t 6
bất,ɓ ə t 5
bật,ɓ ə t 6
bột,ɓ o t 6
bưu,ɓ ɨ w 1
bầu,ɓ ə w 2
ca,k aː 1
cai,k aː j 1
cam,k aː m 1
can,k aː n 1
cang,k aː ŋ 1
canh,k ɛ ŋ 1
cao,k aː w 1
cha,c aː 1
chanh,c ɛ ŋ 1
chi,c i 1
chinh,c i ŋ 1
chiêm,c iə m 1
chiên,c iə n 1
chiêu,c iə w 1
